State,Abbreviation,Season Type,Zone,Split 1 Open,Split 1 Close,Split 2 Open,Split 2 Close,Split 3 Open,Split 3 Close,Bag Limit,Flyway,Weapon,Notes,Source URL,Verified,Season Year
Alabama,AL,regular,Statewide,2025-11-28,2026-01-27,,,,,5,Mississippi,,,https://www.outdooralabama.com/seasons-and-bag-limits/waterfowl-season,FALSE,2025-2026
Alaska,AK,regular,Gulf Coast,2025-09-01,2025-12-16,,,,,6,Pacific,,"Canada geese 6/day. Emperor goose season CLOSED statewide.",https://www.adfg.alaska.gov/index.cfm?adfg=waterfowlhunting.main,TRUE,2025-2026
Arizona,AZ,regular,Statewide,2025-10-23,2026-01-31,,,,,5,Pacific,,Dark geese (Canada/cackling/Brant/white-fronted) 5/day,https://www.azgfd.com/hunting/regulations/,TRUE,2025-2026
Arizona,AZ,light-goose-conservation,Statewide,2025-10-23,2026-01-31,,,,,20,Pacific,,White geese (snow/blue/Ross) 20/day during regular season,https://www.azgfd.com/hunting/regulations/,TRUE,2025-2026
Arkansas,AR,regular,Statewide,2025-09-01,2025-10-15,,,,,5,Mississippi,,Early Canada goose season,https://www.agfc.com/hunting/waterfowl/waterfowl-dates-rules-regulations/,TRUE,2025-2026
Arkansas,AR,regular,Statewide,2025-11-22,2025-12-01,2025-12-10,2025-12-23,2025-12-27,2026-01-31,3,Mississippi,,"Regular Canada goose season. Runs concurrent with duck.",https://www.agfc.com/hunting/waterfowl/waterfowl-dates-rules-regulations/,TRUE,2025-2026
Arkansas,AR,light-goose-conservation,Statewide,2026-02-01,2026-02-06,2026-02-09,2026-04-25,,,999,Mississippi,,No bag limit. Electronic calls and unplugged shotguns allowed.,https://www.agfc.com/hunting/waterfowl/waterfowl-dates-rules-regulations/,TRUE,2025-2026
California,CA,regular,Statewide,2025-10-18,2026-01-28,,,,,5,Pacific,,"Dark geese. Zone dates vary similar to duck. Verify zone-specific.",https://calwaterfowl.org/regulations,FALSE,2025-2026
Colorado,CO,regular,East of Continental Divide,2025-11-03,2026-02-15,,,,,5,Central,,Dark geese (Canada),https://cpw.state.co.us/hunting/waterfowl,TRUE,2025-2026
Colorado,CO,light-goose-conservation,East of Continental Divide,2025-11-01,2026-02-15,,,,,50,Central,,Light geese 50/day unlimited possession,https://cpw.state.co.us/hunting/waterfowl,TRUE,2025-2026
Connecticut,CT,regular,Statewide,2025-10-01,2026-01-15,,,,,3,Atlantic,,"Dates approximate. Multiple zones and splits.",https://portal.ct.gov/deep/hunting/connecticut-migratory-bird-hunting-guide/season-dates-and-bag-limits,FALSE,2025-2026
